coffee_id,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method
415,United States (Hawaii),,,,,,,kona,,27,100 lbs,Specialty Coffee Association,,September 20 2011,kona pacific farmers cooperative,,,
416,United States (Hawaii),,,,HDOA #210307,,,,,25,100 lbs,Specialty Coffee Association,,February 24 2011,kona pacific farmers cooperative,,,
417,Mexico,corta pico,2016-2017-1,la catedral del cafe,,cafe de don balbino s.c. de r.l. de c.v.,1600,sierra madre occidental,BALBINO RAMIREZ FLORES,50,50 kg,Centro Agroecológico del Café A.C.,2017,March 7 2017,cafe de don balbino s.c. de r.l. de c.v.,Typica,,Washed / Wet
418,Costa Rica,estate la patricia,LP-C211-181,micro beneficio la cabaña-javier meza,,bold coast coffee,1900,tarrazu,Manuel Montero,29,46 kg,Specialty Coffee Association,2016,January 30 2017,troy quimby,Catuai,,Pulped natural / honey
419,Costa Rica,coopellanobonito,s16292,coocafe r.l,5-139-0050,panamerican coffee trading,,tarrazu,Coopellanobonito,275,69 kg,Specialty Coffee Association of Costa Rica,2015,September 20 2016,rodrigo soto,,,Washed / Wet
420,Guatemala,linda vista,11-973-152,linda vista,11/973/152,mercon guatemala s.a.,2100,nuevo oriente,PABLO CHUY,275,0 kg,Asociacion Nacional Del Café,2016,August 12 2016,juan luis alvarado romero,Pacas,,Washed / Wet
421,Uganda,kawacom uganda ltd sipi farmers group,035/170/5061178,kawacom,035/170/5061178,kawacom uganda ltd,,"sipi, mt elgon",Kawacom Uganda LTD,150,9000 kg,Uganda Coffee Development Authority,2015,May 19 2016,kawacom uganda ltd,SL14,,Washed / Wet
422,Brazil,,43102245 - P4615,dinamo armazens gerais ltda,002/4542/0189,bourbon specialty coffees,,campos altos - cerrado,,300,60 kg,Brazil Specialty Coffee Association,2016,January 12 2016,bourbon specialty coffees,,,
423,Colombia,,,neiva,3-59-0318,carcafe ltda,442,huila,FRANKLIN DUSSAN,304,35 kg,Almacafé,2015/2016,November 27 2015,carcafe ltda ci,Caturra,,Natural / Dry
424,Mexico,los charcos,,la yerba,3,productos y servicios chilindron s.a. de c.v.,1261,cuarenteño,Rafael Arroyo Zoto,11,2 kg,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2015,July 14 2015,productos y servicios chilindron s.a. de c.v.,Typica,,Natural / Dry
425,Taiwan,sunshine valley estate 向陽高山咖啡,,sunshine valley estate 向陽高山咖啡,Taiwan,taiwan coffee laboratory,1000,natou county,LIN YEN CHIEN 林言謙,10,15 kg,Specialty Coffee Association,2015,June 18 2015,"lin, che-hao krude 林哲豪",Bourbon,,Washed / Wet
426,Taiwan,以勒咖啡,,以勒咖啡,Taiwanw台灣,宸嶧國際,800,南投國姓,蘇詠晴,10,60 kg,Blossom Valley International,2014,November 23 2014,cqi taiwan icp cqi台灣合作夥伴,Typica,,Washed / Wet
427,Colombia,,,trilladora boananza,3-79-1818,ecom cca sa,1483,eje cafetero,,250,70 kg,Almacafé,2014,June 24 2014,compañia colombiana agroindustrial s.a,Caturra,,Natural / Dry
428,Guatemala,finca medina,,beneficio siembras vision (154),11-11711-85 (MED),"siembras vision, s.a.",1500,antigua,"SIEMBRAS VISIÓN, S.A.",26,69 kg,Asociacion Nacional Del Café,2014,March 7 2014,juan luis alvarado romero,Caturra,,Washed / Wet
429,Colombia,,,trilladora boananza,3-68-0215,exportadora de cafe condor s.a,1750,huila,,275,70 kg,Almacafé,2013,August 2 2013,exportadora de cafe condor s.a,Caturra,,Washed / Wet
430,Mexico,various,,productores de cafes especiales sc,2406,"finca triunfo verde, s.c.",1300,chiapas,VRIOS PRODUCTORES,200,1 kg,AMECAFE,2013,March 29 2013,calixto guillen vazquez,Bourbon,,Washed / Wet
431,United States (Hawaii),,,,KF313630,kona pacific farmers cooperative,,kona,,11,100 lbs,Specialty Coffee Association,2012,March 21 2013,kona pacific farmers cooperative,Hawaiian Kona,,Natural / Dry
432,Mexico,finca teocelo,,monte blanco,0,finca teocelo,,veracruz,ERNESTO RODRIGUEZ LUNA,10,1 kg,AMECAFE,2012,August 1 2012,ernesto rodriguez luna,Mundo Novo,,Washed / Wet
433,Mexico,mata larga,,finca mata larga,0,,1000,fortín de las flores,MODESTO LANDEROS FLORES,54,1 kg,AMECAFE,2012,July 11 2012,modesto landeros flores,Caturra,,Washed / Wet
434,Guatemala,agropecuaria quiagral,,beneficio ixchel,11/23/0767,"unex guatemala, s.a.",1311,oriente,AGROPECUARIA QUIAGRAL,250,1 kg,Asociacion Nacional Del Café,2012,July 9 2012,juan luis alvarado romero,Bourbon,,Washed / Wet
435,Brazil,água limpa,,,002/1251/0241,nucoffee,1200,grama valley,Eliane de Andrade Cyrino Noqueira,30,60 kg,NUCOFFEE,2012,February 23 2012,nucoffee,Yellow Bourbon,,Semi-washed / Semi-pulped
436,Colombia,,,trilladora boananza,3-68-0089,exportadora de cafe condor s.a,175,huila,,250,70 kg,Almacafé,2012,February 22 2012,exportadora de cafe condor s.a,Caturra,,Washed / Wet
437,Colombia,,,,3-37-0661,c.i.racafe & cia s.c.a,1775,la plata,La Plata,175,70 kg,Almacafé,2012,February 9 2012,racafe & cia s.c.a,Caturra,,Washed / Wet
438,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0205,,1700,huila,,250,70 kg,Almacafé,1T/2011,June 14 2011,exportadora de cafe condor s.a,,,
439,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0107,,1880,cauca,,250,70 kg,Almacafé,4t/2010,February 22 2011,exportadora de cafe condor s.a,,,
440,Colombia,,,trilladora bonanza - armenia quindio,3-068-0108,,1800,cundinamarca,Exportadora de Café Cóndor S.A,250,70 kg,Almacafé,4T/2010,January 17 2011,exportadora de cafe condor s.a,,,
441,Brazil,fazenda capoeirnha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,October 20 2017,ipanema coffees,Bourbon,,Natural / Dry
442,Guatemala,beneficio el torreon,11/23/0673,beneficio ixchel,11/23/0673,"unex guatemala, s.a.",1901,oriente,AGROINDUSTRIAS CAFETALERAS,275,69 kg,Asociacion Nacional Del Café,2017,August 24 2017,juan luis alvarado romero,Bourbon,,Washed / Wet
443,"Tanzania, United Republic Of",mamsera,AA,rafiki (coffee) limited,033/0004,volcafe/taylorwinch tanzania ltd,16.8,moshi,Mamsera,320,60 kg,Tanzanian Coffee Board,2016,June 20 2017,taylor winch (t) ltd,Bourbon,,Washed / Wet
444,Peru,,1,procesadora del sur sa,543,prodlesur sa,,,,200,13800 kg,Central De Organizaciones Productoras De Café y Cacao Del Perú - Central Café & Cacao,2017,June 16 2017,andrea bernal,,,
445,Vietnam,apollo estate,Oriental Paris Natural Coffee,yes,,"sunvirtue co., ltd.",1550,dala,"Yeh, Li Chuan",1,2 kg,Specialty Coffee Association,2017,May 8 2017,"sunvirtue co., ltd.",Catimor,,Natural / Dry
446,Guatemala,finca medina,11/11711/58,beneficio siembras vision (154),11/11711/58,"siembras vision, s.a.",1500,antigua,FINCA MEDINA,250,1500 kg,Asociacion Nacional Del Café,2016,May 23 2016,juan luis alvarado romero,Caturra,,Washed / Wet
447,Honduras,bethel,427,dry mill,13-63-214,cadexsa,1450,marcala,JOSE OMAR ACOSTA,275,69 kg,Instituto Hondureño del Café,2016,May 2 2016,cadexsa,Catuai,,Washed / Wet
448,China,chen lin,YNC-16056,mojiang jinggong estate speciality development co.ltd mill,,yunnan coffee exchange,1200,yunnan,Mojiang Jinggong Estate Speciality Development Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,April 6 2016,yunnan coffee exchange,Catimor,,Washed / Wet
449,China,yunnan success trade co.ltd,YNC-16028,yunnan success trade co.ltd mill,,yunnan coffee exchange,1600,dehong prefecture,Yunnan Success Trade Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,April 5 2016,yunnan coffee exchange,Catimor,,Washed / Wet
450,El Salvador,agua caliente,1,agua caliente,9-392-68,consejo salvadoreño del café,1350,apaneca,Ecom Agroindustrial Corp. Ltd.,275,69 kg,Salvadoran Coffee Council,2016,March 29 2016,consejo salvadoreño del café,Bourbon,,Washed / Wet
451,Guatemala,finca medina,,beneficio siembras vision (154),11/11711/1,"siembras vision, s.a.",1500,antigua,FINCA MEDINA,150,69 kg,Asociacion Nacional Del Café,2015,October 29 2015,juan luis alvarado romero,Bourbon,,Washed / Wet
452,Guatemala,"la esperanza, margarita nuyes",,beneficio ixchel,11/23/2004,"unex guatemala, s.a.",1650,oriente,PAPATURRO,100,69 kg,Asociacion Nacional Del Café,2015,September 29 2015,juan luis alvarado romero,Bourbon,,Washed / Wet
453,Kenya,,,,37-0843-3305,taylor winch (coffee) ltd,1500,kenya,,300,2 kg,Kenya Coffee Traders Association,2014,July 3 2015,taylor winch (coffee) ltd.,SL28,,Washed / Wet
454,Thailand,,,,-,doi tung development project,800,thailand,Doi Tung Development Project,1,1 kg,Specialty Coffee Association,2014,June 9 2015,doi tung development project,,,Washed / Wet
455,"Tanzania, United Republic Of",myanganyanga,,tutunze kahawa ltd,C9,tutunze kahawa ltd,1653,mbinga,Tutunze Kahawa Ltd,180,60 kg,Africa Fine Coffee Association,2014,December 12 2014,tutunze kahawa ltd,Other,,Washed / Wet
456,Colombia,,,,3-37-0119,racafe & cia s.c.a,1775,huila,La Plata,232,70 kg,Almacafé,2014,November 5 2014,racafe & cia s.c.a,Caturra,,Washed / Wet
457,Uganda,kaptanya,,gumutindo,0,kabum trading company,1800,eastern,Kabum Trading Company,84,60 kg,Uganda Coffee Development Authority,2014,October 28 2014,kabum trading company,SL14,,Washed / Wet
458,Colombia,unkown,,unkown,unkown,green mountain coffee,,,unkown,1,4 lbs,Specialty Coffee Association,2014,August 25 2014,cafe politico,,,Washed / Wet
459,Honduras,el cerron,,rio hamaca,13/01/2369,"olam honduras, s.a.",1450,san marcos,Nelson Melgar Melgar,275,1 kg,Instituto Hondureño del Café,2013,April 12 2014,mayra yessenia torres,Catuai,,Natural / Dry
460,Honduras,los hicaques,,cigrah sps,13-111-193,cigrah,1350,comayagua,Reynerio Zepeda,275,1 kg,Instituto Hondureño del Café,2014/2015,April 8 2014,,Caturra,,Natural / Dry
461,Guatemala,nueva granada,,beneficio nueva granada,11-326-10,"agricola nueva granada, s.a.",1524,san marcos,"AGRICOLA NUEVA GRANADA, S.A.",200,69 kg,Asociacion Nacional Del Café,2014,March 27 2014,juan luis alvarado romero,Catuai,,Washed / Wet
462,United States (Hawaii),,,,KS011714,kona pacific farmers cooperative,,kona,,6,100 lbs,Specialty Coffee Association,2013,February 7 2014,eileen koyanagi,Hawaiian Kona,,Natural / Dry
463,"Tanzania, United Republic Of",,,rafiki (coffee) limited,4,taylor winch (t) ltd,1800,kilimanjaro,,300,1 kg,Tanzanian Coffee Board,2014,January 31 2014,balam hinyula,Bourbon,,Washed / Wet
464,Guatemala,finca el morito,,beneficio ixchel,11/23/0465,"unex guatemala, s.a.",1311,oriente,ROBERTO MONTERROSO,250,69 kg,Asociacion Nacional Del Café,2013,April 26 2013,juan luis alvarado romero,Bourbon,,Washed / Wet
465,Mexico,santa cecilia,,"angel albino corzo, chiapas",016-2129,cesmach s.c.,1500,chiapas,MARGARITO ROBLERO VAZQUEZ,45,1 kg,AMECAFE,2013,March 29 2013,nestor mendez gomez,Typica,,Washed / Wet
466,Mexico,tlapacoya,,"el chipoco, municipio de tlanchinol",1702765464,,532,"tlanchinol, hidalgo",AMADOR HERNANDEZ DIONICIO,10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Typica,,Washed / Wet
467,Mexico,la loma,,el pedregal,1702771046,,1089,san bartolo tutotepec,"TREJO VELASCO, ROMAN",10,1 kg,AMECAFE,2012,September 27 2012,saul m. hernandez ramirez,Pacamara,,Washed / Wet
468,Colombia,,,,3-37-1691,c.i.racafe & cia s.c.a,1775,huila,LA PLATA,275,70 kg,Almacafé,2012,August 31 2012,racafe & cia s.c.a,Caturra,,Washed / Wet
469,Mexico,el mirador,,el mirador,1702766681,,700,san isidro,FERNANDO MENDOZA APARICIO,15,1 kg,AMECAFE,2012,July 11 2012,fernando mendoza aparicio,Typica,,Washed / Wet
470,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0140,exportadora de cafe condor s.a,1750,huila,,250,70 kg,Almacafé,2012,June 8 2012,exportadora de cafe condor s.a,Caturra,,Washed / Wet
471,Mexico,finca nueva linda,,agroindustrias unidas de mexico,2222,ecomtrading,1380,la concordia,OCTAVIO MOGUEL FARRERA,250,1 kg,AMECAFE,2012,June 6 2012,alfredo bojalil,Typica,,Washed / Wet
472,Brazil,campo das flores,,,002/1251/0250,nucoffee,1000,south of minas,Giovane Senna Bonacorssi,50,60 kg,NUCOFFEE,2012,March 19 2012,nucoffee,Mundo Novo,,Natural / Dry
473,Brazil,são francisco da serra,,,002/1251/0245,nucoffee,950,mogiana,Maria Aparecida Ferreira Azevedo,100,60 kg,NUCOFFEE,2012,February 17 2012,nucoffee,Mundo Novo,,Natural / Dry
474,Guatemala,conquista / morito,,beneficio ixchel,11-26-0236,coffee resources inc.,1402,oriente,Conquista / Morito,250,2 kg,Specialty Coffee Association,2012,February 1 2012,felipe isaza,Bourbon,,Washed / Wet
475,Brazil,fazenda do lobo,,,002/1251/0075,nucoffee,1000,south of minas,Andrea Galvão Noqueira,25,60 kg,NUCOFFEE,2011,December 3 2011,nucoffee,Mundo Novo,,Semi-washed / Semi-pulped
476,Brazil,olhos d'agua,,,,,900,south of minas,Mario Dornelles Alvarenga,90,60 kg,NUCOFFEE,2011,October 28 2011,nucoffee,,,
477,El Salvador,several,,la majada cooperative,9-29-1990,,1200,santa ana,Several,250,69 kg,Specialty Coffee Association,2010-2011,August 23 2011,the coffee source inc.,,,
478,Ethiopia,tega and tula special coffee farm,,,010/0182/0008,,1850,limu,Tega and Tula Special Coffee Farm,300,6,Ethiopia Commodity Exchange,August to December,June 16 2010,ethiopia commodity exchange,,,
479,Colombia,,3-59-1694,bogota,3-59-1694,carcafe ltda,1799,cundinamarca,Orlando Moreno / Willson Sanchez,275,70 kg,Almacafé,2016,February 20 2017,carcafe ltda ci,Caturra,,Washed / Wet
480,Colombia,,3-37-0278,bachue,3-37-0278,racafe & cia s.c.a,,huila,La Plata,275,70 kg,Almacafé,2016,January 10 2017,racafe & cia s.c.a,Caturra,,Washed / Wet
481,Brazil,capoeirinha,261/15,dry mill,002/1660/0049,ipanema coffees,905,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2015,April 25 2016,ipanema coffees,Yellow Bourbon,,Pulped natural / honey
482,Brazil,rio verde,,ipanema comercial e exportadora sa,002/4177/0164,ipanema coffees,1,south of minas,Ipanema Agrícola SA,320,2 kg,Brazil Specialty Coffee Association,2015/2016,October 8 2015,ipanema coffees,Yellow Bourbon,,Natural / Dry
483,Taiwan,kan tou mountain coffee 崁頭山咖啡館,,kan tou mountain coffee 崁頭山咖啡館,Taiwan,taiwan coffee laboratory,750,"dongshan dist., tainan city 臺南市東山區",Tseng ju feng / Kuo jun hong 曾如楓 / 郭俊宏,20,60 kg,Specialty Coffee Association,2015,May 19 2015,"lin, che-hao krude 林哲豪",Typica,,Natural / Dry
484,Brazil,,,,002/4542/0477,bourbon specialty coffees,,chapadão de ferro (cerrado mineiro),,300,60 kg,Brazil Specialty Coffee Association,2015,April 20 2015,bourbon specialty coffees,Mundo Novo,,Natural / Dry
485,Brazil,rio verde,,ipanema coffees,002/1660/0064,ipanema coffees,1200,south of minas,Ipanema Agrícola SA,300,2 kg,Specialty Coffee Association,2014/2015,October 16 2014,ipanema coffees,Bourbon,,Washed / Wet
486,Costa Rica,various,,coricafe sa,05-0048-0171,coricafe s.a.,1300,central valley,VARIOS,250,1 kg,Specialty Coffee Association of Costa Rica,2014,July 15 2014,eric thormaehlen,Catuai,,Washed / Wet
487,United States (Hawaii),,,,KP011714,kona pacific farmers cooperative,,kona,,16,100 lbs,Specialty Coffee Association,2013,February 19 2014,eileen koyanagi,Hawaiian Kona,,Natural / Dry
488,Taiwan,alishan zou zhu yuan 阿里山鄒築園,,alishan zou zhu yuan 阿里山鄒築園,,blossom valley宸嶧國際,1300,chiayi alishan 嘉義縣阿里山鄉,Fang zheng lun 方政倫,50,30 kg,Blossom Valley International,2013/2014,December 26 2013,cqi taiwan icp cqi台灣合作夥伴,Typica,,Other
489,United States (Hawaii),,,,K131353,kona pacific farmers cooperative,,kona,,6,100 lbs,Specialty Coffee Association,2012,March 8 2013,kona pacific farmers cooperative,Hawaiian Kona,,Natural / Dry
490,Mexico,santa maria,,,1405830166,finca las nubes,1400,santa catarina juquila,MARIA LUISA DEL CARMEN ROJAS NARVAEZ,10,1 kg,AMECAFE,2012,June 6 2012,maria luisa del carmen rojas narvaez,Other,,Washed / Wet
491,United States (Hawaii),,,,220454,kona pacific farmers cooperative,,kona,,7,100 lbs,Specialty Coffee Association,2012,April 6 2012,kona pacific farmers cooperative,Hawaiian Kona,,Natural / Dry
492,United States (Hawaii),,,,2135403,cqi,,kona,,6,100 lbs,Specialty Coffee Association,2012,February 23 2012,kona pacific farmers cooperative,Hawaiian Kona,,Washed / Wet
493,Colombia,,,,3-37-2781,,1775,huila,"Grupo Monserrate, La Plata",275,70 kg,Almacafé,Mayo a Julio,July 29 2011,racafe & cia s.c.a,Caturra,,
494,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0129,,1880,cauca,,250,70 kg,Almacafé,47/2010,February 22 2011,exportadora de cafe condor s.a,,,
495,Indonesia,lintong nihuta,,pt. menacom,,,1350,dolok sanggul,PT. MENACOM,10,60 kg,Specialty Coffee Association of Indonesia,2010,November 29 2010,specialty coffee association of indonesia,,,
496,Guatemala,,,,11/851/0022,,,,,275,69 kg,Specialty Coffee Association,,November 11 2010,chris finch,,,
497,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,October 20 2017,ipanema coffees,Bourbon,,Natural / Dry
498,Brazil,fazenda capoeirnha,007/16A,dry mill,002/1660/0105,ipanema coffees,894,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,August 16 2016,ipanema coffees,Bourbon,,Natural / Dry
499,Brazil,capoeirinha,007/16F,dry mill,002/1660/0105,ipanema coffees,872,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,August 16 2016,ipanema coffees,Bourbon,,Natural / Dry
500,Uganda,isule farmers group,201501,ibero,C201501,ucfa,1473,"kasese, mt. rwenzori",Xavier Baluku,310,60 kg,Uganda Coffee Development Authority,2015,July 18 2016,ucfa,Bourbon,,Washed / Wet
501,Uganda,ibanda farmers group,201502,ibero,C201502,ucfa,1645,"kasese, mt. rwenzori",Emmanuel Munaaba,325,60 kg,Uganda Coffee Development Authority,2015,July 18 2016,ucfa,Bourbon,,Natural / Dry
502,Colombia,,3-59-1773,neiva,3-59-1773,carcafe ltda,442,huila,FRANKLIN DUSSAN / HIPOLITO TORRES,25,70 kg,Almacafé,2016,February 11 2016,carcafe ltda ci,,,
503,Vietnam,apollo estate,,apollo estate,,"sunvirtue co., ltd.",1550,vietnam cau dat,"Yeh, Li Chuan.",2,2 kg,Specialty Coffee Association,2014,December 28 2015,"sunvirtue co., ltd.",Caturra,,Other
504,Guatemala,el chile,,la conquista,11-973-94,mercon guatemala s.a.,1550,nuevo oriente,OVIDIO CARDONA,275,69 kg,Asociacion Nacional Del Café,2015,July 8 2015,juan luis alvarado romero,Catuai,,Washed / Wet
505,Guatemala,nueva granada,,tradicional,11/326/19,"agricola nueva granada, s.a.",1372,"el tumbador, san marcos","Agricola Nueva Granada, S. A.",200,69 kg,Asociacion Nacional Del Café,2015,June 5 2015,juan luis alvarado romero,Catuai,,Washed / Wet
506,Guatemala,finca medina,,beneficio siembras vision (154),11/11711/38,"siembras vision, s.a.",1500,antigua,FINCA MEDINA,250,69 kg,Asociacion Nacional Del Café,2015,April 23 2015,juan luis alvarado romero,Bourbon,,Washed / Wet
507,Brazil,fazenda santo antonio,,dry,651,atlantica eportacao e importcao ltda,1000,high mogiana,João Alves Toledo,305,2 kg,Brazil Specialty Coffee Association,2014,February 13 2015,irene alves santos,Catuai,,Natural / Dry
508,Taiwan,雅慕伊,,雅慕伊,Taiwan台灣,宸嶧國際,1200,嘉義阿里山,雅慕伊,10,60 kg,Blossom Valley International,2014,November 23 2014,cqi taiwan icp cqi台灣合作夥伴,Typica,,Washed / Wet
509,Uganda,kabeywa county,,kucofa farmers group,0,star cafe ltd,1800,kapchorwa,Kucofa farmers group,300,60 kg,Uganda Coffee Development Authority,2013,June 26 2014,star cafe ltd,SL14,,Washed / Wet
510,United States (Puerto Rico),hacienda caracolillo,,hacienda alto grande,,"hacienda alto grande, llc.",853,yauco region,Hacienda Alto Grande,17,5 lbs,Specialty Coffee Association,2013,June 9 2014,german negron,Other,,Washed / Wet
511,Guatemala,grupo medina (pequeños productores),,beneficio siembras vision (154),11-11711-86 (SV),"siembras vision, s.a.",1500,antigua,GRUPO MEDINA,26,69 kg,Asociacion Nacional Del Café,2014,March 7 2014,juan luis alvarado romero,Bourbon,,Washed / Wet
512,Costa Rica,several,,several,5-0048-0022,coricafe s.a.,1200,central valley,CORICAFE BLEND,250,1 kg,Specialty Coffee Association of Costa Rica,2013,February 14 2014,eric thormaehlen,Catuai,,Washed / Wet
513,Brazil,sertao farm,,cocarive,002/1352/0077,exportadora de cafés carmo de minas ltda,1250,sul de minas,NAZARETH DIAS PEREIRA,250,2 kg,Specialty Coffee Association,2013/2014,January 2 2014,jacques pereira carneiro,Yellow Bourbon,,Semi-washed / Semi-pulped
514,Colombia,,,,3-37-0281,racafe & cia s.c.a,1775,huila,La Plata,120,70 kg,Almacafé,2013,November 7 2013,racafe & cia s.c.a,Caturra,,Washed / Wet
515,Colombia,,,trilladora boananza,3-68-0248,exportadora de cafe condor s.a,1750,huila,,250,70 kg,Almacafé,2013,August 2 2013,exportadora de cafe condor s.a,Caturra,,Washed / Wet
516,Colombia,,,neiva,3-59-1150,carcafe ltda,1000,pitalito,COFFEE COMPANY / CAFECOL,250,70 kg,Almacafé,2013,March 15 2013,carcafe ltda ci,Caturra,,Natural / Dry
517,Colombia,,,neiva,3-59-1327,carcafe ltda,1000,pitalito,ORLANDO ORTOZ / HIPOLITO TORRES,250,70 kg,Almacafé,2013,April 26 2013,carcafe ltda ci,Caturra,,Natural / Dry
518,Colombia,,,,3-37-0021,c.i.racafe & cia s.c.a,1775,huila,LA PLATA,275,70 kg,Almacafé,2012,October 23 2012,racafe & cia s.c.a,Caturra,,Washed / Wet
519,Mexico,vegas,,"coatepec, ver",1104362909,,750,coatepec,GONZALO RIVERO PUERTO,15,1 kg,AMECAFE,2012,July 26 2012,rosa aurora falcon fernandez,Typica,,Washed / Wet
520,Mexico,finca la estancia,,"atoyac de alvarez, guerrero",1302911347,finca la estancia,1200,atoyac de alvarez,SANTIAGO SOLIS AYERDI,20,1 kg,AMECAFE,2012,July 26 2012,santiago solis ayerdi,Typica,,Semi-washed / Semi-pulped
521,Mexico,las lomas,,,2222,ecomtrading,1200,coatepec,FRANCO COLORADO DOMINGUEZ,250,1 kg,AMECAFE,2012,July 11 2012,alfredo bojalil,Bourbon,,Washed / Wet
522,Colombia,,,trilladora boananza,,exportadora de cafe condor s.a,,,Exportadora Condor,250,70 kg,Almacafé,2012,May 22 2012,exportadora de cafe condor s.a,Arusha,,Natural / Dry
523,Colombia,various,,trilladora boananza,3-68-0124,exportadora de cafe condor s.a,1625,huila,varios,250,70 kg,Almacafé,2012,May 11 2012,exportadora de cafe condor s.a,Caturra,,Washed / Wet
524,Colombia,,,trilladora bonanza - armenia quindioa,3-68-0141,exportadora de cafe condor s.a,1750,huila,,250,70 kg,Almacafé,2012,June 8 2012,exportadora de cafe condor s.a,Caturra,,Washed / Wet
525,Guatemala,la igualdad,,beneficio la igualdad,11/194/07,"nuevos mercados, s.a.",1372,"la reforma, san marcos","NUEVOS MERCADOS, S.A.",275,1 kg,Asociacion Nacional Del Café,2012,April 27 2012,juan luis alvarado romero,Bourbon,,Washed / Wet
526,Colombia,,,,3-37-0170,c.i.racafe & cia s.c.a,1775,la plata,LA PLATA,121,1 kg,Almacafé,2011,December 2 2011,racafe & cia s.c.a,Caturra,,Washed / Wet
527,Thailand,doi tung development project,,,,,,,,1,60 kg,Specialty Coffee Association,2011,August 16 2011,doi tung development project,,,
528,Colombia,,,popayán,Mar-37,,1450,cauca,,300,70 kg,Almacafé,Abril - Julio,May 12 2011,racafe & cia s.c.a,,,
529,United States (Hawaii),,,,HDOA #210391,,,,,23,100 lbs,Specialty Coffee Association,,April 21 2011,kona pacific farmers cooperative,,,
530,United States (Hawaii),,,,HDOA #210363,,,,,5,100 lbs,Specialty Coffee Association,,March 9 2011,kona pacific farmers cooperative,,,
531,Colombia,,,trilladora boananza,3-68-0140,,1800,huila,varios,250,70 kg,Almacafé,4t/2011,February 1 2011,exportadora de cafe condor s.a,,,
532,Nicaragua,santa rosa,,beneficio atlantic sebaco,1-053-0222,,,matagalpa,Juan AugustinPalacio,2,6,Specialty Coffee Association,2009-2010,May 31 2010,grounds for health admin,Caturra,,
533,Thailand,doi tung development project,,,,,,,Doi Tung Development Project,1,1 lbs,Specialty Coffee Association,,April 13 2010,doi tung development project,,,
534,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,October 20 2017,ipanema coffees,Bourbon,,Natural / Dry
535,El Salvador,santa josefita,1-198,beneficio cuzcachapa,09-030-273,soc. coop. cuzcachapa de r.l.,1350,apaneca,"Balcanes Coffee Estates, S.A. de C.V.",100,69 kg,Salvadoran Coffee Council,2017,August 28 2017,consejo salvadoreño del café,Bourbon,,Washed / Wet
536,Colombia,,3-37-4468,bogota,3-37-4468,racafe & cia s.c.a,1500,guayata,,129,70 kg,Almacafé,2017,July 7 2017,racafe & cia s.c.a,Caturra,,Washed / Wet
537,Taiwan,shi fang yuan 十方源,2016 Tainan Coffee Cupping Event Micro Lot 臺南市咖啡評鑑批次,shi fang yuan 十方源,Taiwan,taiwan coffee laboratory,350,"dongshan dist., tainan city 臺南市東山區",Wang Chao Yung 王超永,10,20 kg,Specialty Coffee Association,2016,June 28 2016,"lin, che-hao krude 林哲豪",Caturra,,Natural / Dry
538,Ethiopia,-,none,,010/0357/0085,belayneh kindie,2000,"blida,kercha,guji,oromia",-,250,60 kg,Blossom Valley International,2016,February 26 2016,cqi taiwan icp cqi台灣合作夥伴,Ethiopian Heirlooms,,Washed / Wet
539,Taiwan,佐佑品咖啡莊園,,誼鎂有限公司,123,宸嶧國際,775,台東太麻里,許文郎,11,2 kg,Blossom Valley International,2014,September 7 2015,cqi taiwan icp cqi台灣合作夥伴,Typica,,Natural / Dry
540,Philippines,kalugmanan agri development corp.,,kalugmanan agri development corp.,444,hineleban foundation,1200,"bukidnon, mindanao, philppines",Hineleban Foundation,250,2 kg,Torch Coffee Lab Yunnan,2015,July 31 2015,renee a. perrine,Other,,Washed / Wet
541,Philippines,"several, bukidnon, mindanao, philippines",,ephemera traders,,ephemera traders,1600,asia pacific,Ephemera Traders,4,2 kg,Specialty Coffee Association,2014,July 21 2015,zarah zamora perez,Other,,Washed / Wet
